                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                0.65569,                0.48225,                0.11317,                0.88446,                0.81164,                0.89923,                  0.601,                 0.4465,                0.36929,                0.08085,                 0.0001,                 0.0001,                 0.0001
                    120,                0.66235,                0.48679,                0.11494,                0.88476,                0.81403,                0.89869,                0.60147,                0.44257,                0.36743,                   0.08,                 0.0001,                 0.0001,                 0.0001
                    121,                0.66496,                0.48503,                0.11607,                0.87405,                0.83087,                0.90367,                0.60398,                 0.4412,                0.36599,                0.07942,                 0.0001,                 0.0001,                 0.0001
                    122,                0.66309,                0.48734,                0.11466,                0.87037,                0.83667,                0.90497,                0.60418,                0.43861,                0.36511,                0.07898,                 0.0001,                 0.0001,                 0.0001
                    123,                0.65265,                0.48498,                0.11218,                0.88005,                0.82906,                0.90483,                0.60489,                0.43786,                 0.3645,                 0.0786,                 0.0001,                 0.0001,                 0.0001
                    124,                0.65253,                 0.4835,                0.11333,                0.88397,                0.83204,                 0.9043,                0.60651,                0.43793,                0.36337,                0.07807,                 0.0001,                 0.0001,                 0.0001
                    125,                 0.6394,                 0.4743,                0.10972,                0.90135,                0.83255,                0.90789,                0.61137,                0.43639,                0.36196,                0.07756,                 0.0001,                 0.0001,                 0.0001
                    126,                0.64927,                0.48021,                0.11289,                0.88471,                0.84671,                0.90909,                0.61402,                0.43262,                0.36009,                0.07707,                 0.0001,                 0.0001,                 0.0001
                    127,                0.65817,                0.48331,                0.11408,                0.90646,                0.84108,                0.91095,                0.61371,                0.43166,                0.35949,                 0.0771,                 0.0001,                 0.0001,                 0.0001
                    128,                0.64383,                0.47588,                0.11119,                0.88951,                0.85081,                0.91204,                0.61248,                0.43247,                0.35947,                0.07712,                 0.0001,                 0.0001,                 0.0001
                    129,                0.63948,                0.47567,                0.11159,                0.87578,                0.86355,                0.91214,                0.61406,                0.43194,                0.35881,                0.07692,                 0.0001,                 0.0001,                 0.0001
